Heart Rate,altitude,cadence,distance,enhanced_altitude,enhanced_speed,heart_rate,position_lat,position_long,power,speed,timestamp
65,69.0,58,58.0,69.0,1.0,65,0,6216,150,1.0,2021-07-20 21:12:18
58,68.0,59,59.0,68.0,1.0,58,0,6323,150,1.0,2021-07-20 21:12:19
52,67.0,60,60.0,67.0,1.0,52,0,6430,150,1.0,2021-07-20 21:12:20
46,66.0,61,61.0,66.0,1.0,46,0,6538,150,1.0,2021-07-20 21:12:21
40,65.0,62,62.0,65.0,1.0,40,0,6645,150,1.0,2021-07-20 21:12:22
34,64.0,63,63.0,64.0,1.0,34,0,6752,150,1.0,2021-07-20 21:12:23
29,63.0,64,64.0,63.0,1.0,29,0,6859,150,1.0,2021-07-20 21:12:24
24,62.0,65,65.0,62.0,1.0,24,0,6966,150,1.0,2021-07-20 21:12:25
19,61.0,66,66.0,61.0,1.0,19,0,7073,150,1.0,2021-07-20 21:12:26
15,60.0,67,67.0,60.0,1.0,15,0,7181,150,1.0,2021-07-20 21:12:27
12,59.0,68,68.0,59.0,1.0,12,0,7288,150,1.0,2021-07-20 21:12:28
8,58.0,69,69.0,58.0,1.0,8,0,7395,150,1.0,2021-07-20 21:12:29
6,57.0,70,70.0,57.0,1.0,6,0,7502,150,1.0,2021-07-20 21:12:30
3,56.0,71,71.0,56.0,1.0,3,0,7609,150,1.0,2021-07-20 21:12:31
2,55.0,72,72.0,55.0,1.0,2,0,7716,150,1.0,2021-07-20 21:12:32
1,54.0,73,73.0,54.0,1.0,1,0,7824,150,1.0,2021-07-20 21:12:33
0,53.0,74,74.0,53.0,1.0,0,0,7931,150,1.0,2021-07-20 21:12:34
0,52.0,75,75.0,52.0,1.0,0,0,8038,150,1.0,2021-07-20 21:12:35
0,51.0,76,76.0,51.0,1.0,0,0,8145,150,1.0,2021-07-20 21:12:36
1,50.0,77,77.0,50.0,1.0,1,0,8252,150,1.0,2021-07-20 21:12:37
2,49.0,78,78.0,49.0,1.0,2,0,8359,150,1.0,2021-07-20 21:12:38
3,48.0,79,79.0,48.0,1.0,3,0,8467,150,1.0,2021-07-20 21:12:39
6,47.0,80,80.0,47.0,1.0,6,0,8574,150,1.0,2021-07-20 21:12:40
8,46.0,81,81.0,46.0,1.0,8,0,8681,150,1.0,2021-07-20 21:12:41
12,45.0,82,82.0,45.0,1.0,12,0,8788,150,1.0,2021-07-20 21:12:42
15,44.0,83,83.0,44.0,1.0,15,0,8895,150,1.0,2021-07-20 21:12:43
19,43.0,84,84.0,43.0,1.0,19,0,9003,150,1.0,2021-07-20 21:12:44
24,42.0,85,85.0,42.0,1.0,24,0,9110,150,1.0,2021-07-20 21:12:45
29,41.0,86,86.0,41.0,1.0,29,0,9217,150,1.0,2021-07-20 21:12:46
34,40.0,87,87.0,40.0,1.0,34,0,9324,150,1.0,2021-07-20 21:12:47
40,39.0,88,88.0,39.0,1.0,40,0,9431,150,1.0,2021-07-20 21:12:48
46,38.0,89,89.0,38.0,1.0,46,0,9538,150,1.0,2021-07-20 21:12:49
52,37.0,90,90.0,37.0,1.0,52,0,9646,150,1.0,2021-07-20 21:12:50
58,36.0,91,91.0,36.0,1.0,58,0,9753,150,1.0,2021-07-20 21:12:51
65,35.0,92,92.0,35.0,1.0,65,0,9860,150,1.0,2021-07-20 21:12:52
72,34.0,93,93.0,34.0,1.0,72,0,9967,150,1.0,2021-07-20 21:12:53
80,33.0,94,94.0,33.0,1.0,80,0,10074,150,1.0,2021-07-20 21:12:54
87,32.0,95,95.0,32.0,1.0,87,0,10181,150,1.0,2021-07-20 21:12:55
95,31.0,96,96.0,31.0,1.0,95,0,10289,150,1.0,2021-07-20 21:12:56
103,30.0,97,97.0,30.0,1.0,103,0,10396,150,1.0,2021-07-20 21:12:57
111,29.0,98,98.0,29.0,1.0,111,0,10503,150,1.0,2021-07-20 21:12:58
119,28.0,99,99.0,28.0,1.0,119,0,10610,150,1.0,2021-07-20 21:12:59
126,27.0,100,100.0,27.0,1.0,126,0,10717,150,1.0,2021-07-20 21:13:00
134,26.0,101,101.0,26.0,1.0,134,0,10824,150,1.0,2021-07-20 21:13:01
142,25.0,102,102.0,25.0,1.0,142,0,10932,150,1.0,2021-07-20 21:13:02
150,24.0,103,103.0,24.0,1.0,150,0,11039,150,1.0,2021-07-20 21:13:03
158,23.0,104,104.0,23.0,1.0,158,0,11146,150,1.0,2021-07-20 21:13:04
166,22.0,105,105.0,22.0,1.0,166,0,11253,150,1.0,2021-07-20 21:13:05
173,21.0,106,106.0,21.0,1.0,173,0,11360,150,1.0,2021-07-20 21:13:06
181,20.0,107,107.0,20.0,1.0,181,0,11468,150,1.0,2021-07-20 21:13:07
188,19.0,108,108.0,19.0,1.0,188,0,11575,150,1.0,2021-07-20 21:13:08
195,18.0,109,109.0,18.0,1.0,195,0,11682,150,1.0,2021-07-20 21:13:09
201,17.0,110,110.0,17.0,1.0,201,0,11789,150,1.0,2021-07-20 21:13:10
207,16.0,111,111.0,16.0,1.0,207,0,11896,150,1.0,2021-07-20 21:13:11
213,15.0,112,112.0,15.0,1.0,213,0,12003,150,1.0,2021-07-20 21:13:12
219,14.0,113,113.0,14.0,1.0,219,0,12111,150,1.0,2021-07-20 21:13:13
224,13.0,114,114.0,13.0,1.0,224,0,12218,150,1.0,2021-07-20 21:13:14
229,12.0,115,115.0,12.0,1.0,229,0,12325,150,1.0,2021-07-20 21:13:15
234,11.0,116,116.0,11.0,1.0,234,0,12432,150,1.0,2021-07-20 21:13:16
238,10.0,117,117.0,10.0,1.0,238,0,12539,150,1.0,2021-07-20 21:13:17
241,9.0,118,118.0,9.0,1.0,241,0,12646,150,1.0,2021-07-20 21:13:18
245,8.0,119,119.0,8.0,1.0,245,0,12754,150,1.0,2021-07-20 21:13:19
247,7.0,120,120.0,7.0,1.0,247,0,12861,150,1.0,2021-07-20 21:13:20
250,6.0,121,121.0,6.0,1.0,250,0,12968,150,1.0,2021-07-20 21:13:21
251,5.0,122,122.0,5.0,1.0,251,0,13075,150,1.0,2021-07-20 21:13:22
252,4.0,123,123.0,4.0,1.0,252,0,13182,150,1.0,2021-07-20 21:13:23
253,3.0,124,124.0,3.0,1.0,253,0,13289,150,1.0,2021-07-20 21:13:24
254,2.0,125,125.0,2.0,1.0,254,0,13397,150,1.0,2021-07-20 21:13:25
253,1.0,126,126.0,1.0,1.0,253,0,13504,150,1.0,2021-07-20 21:13:26
252,0.0,127,127.0,0.0,1.0,252,0,13611,250,1.0,2021-07-20 21:13:27
251,1.0,128,128.0,1.0,1.0,251,0,13718,250,1.0,2021-07-20 21:13:28
250,2.0,129,129.0,2.0,1.0,250,0,13825,250,1.0,2021-07-20 21:13:29
247,3.0,130,130.0,3.0,1.0,247,0,13932,250,1.0,2021-07-20 21:13:30
245,4.0,131,131.0,4.0,1.0,245,0,14040,250,1.0,2021-07-20 21:13:31
241,5.0,132,132.0,5.0,1.0,241,0,14147,250,1.0,2021-07-20 21:13:32
238,6.0,133,133.0,6.0,1.0,238,0,14254,250,1.0,2021-07-20 21:13:33
234,7.0,134,134.0,7.0,1.0,234,0,14361,250,1.0,2021-07-20 21:13:34
229,8.0,135,135.0,8.0,1.0,229,0,14468,250,1.0,2021-07-20 21:13:35
224,9.0,136,136.0,9.0,1.0,224,0,14576,250,1.0,2021-07-20 21:13:36
219,10.0,137,137.0,10.0,1.0,219,0,14683,250,1.0,2021-07-20 21:13:37
213,11.0,138,138.0,11.0,1.0,213,0,14790,250,1.0,2021-07-20 21:13:38
207,12.0,139,139.0,12.0,1.0,207,0,14897,250,1.0,2021-07-20 21:13:39
201,13.0,140,140.0,13.0,1.0,201,0,15004,250,1.0,2021-07-20 21:13:40
195,14.0,141,141.0,14.0,1.0,195,0,15111,250,1.0,2021-07-20 21:13:41
188,15.0,142,142.0,15.0,1.0,188,0,15219,250,1.0,2021-07-20 21:13:42
181,16.0,143,143.0,16.0,1.0,181,0,15326,250,1.0,2021-07-20 21:13:43
173,17.0,144,144.0,17.0,1.0,173,0,15433,250,1.0,2021-07-20 21:13:44
166,18.0,145,145.0,18.0,1.0,166,0,15540,250,1.0,2021-07-20 21:13:45
158,19.0,146,146.0,19.0,1.0,158,0,15647,250,1.0,2021-07-20 21:13:46
150,20.0,147,147.0,20.0,1.0,150,0,15754,250,1.0,2021-07-20 21:13:47
142,21.0,148,148.0,21.0,1.0,142,0,15862,250,1.0,2021-07-20 21:13:48
134,22.0,149,149.0,22.0,1.0,134,0,15969,250,1.0,2021-07-20 21:13:49
127,23.0,150,150.0,23.0,1.0,127,0,16076,250,1.0,2021-07-20 21:13:50
119,24.0,151,151.0,24.0,1.0,119,0,16183,250,1.0,2021-07-20 21:13:51
111,25.0,152,152.0,25.0,1.0,111,0,16290,250,1.0,2021-07-20 21:13:52
103,26.0,153,153.0,26.0,1.0,103,0,16397,250,1.0,2021-07-20 21:13:53
95,27.0,154,154.0,27.0,1.0,95,0,16505,250,1.0,2021-07-20 21:13:54
87,28.0,155,155.0,28.0,1.0,87,0,16612,250,1.0,2021-07-20 21:13:55
80,29.0,156,156.0,29.0,1.0,80,0,16719,250,1.0,2021-07-20 21:13:56
72,30.0,157,157.0,30.0,1.0,72,0,16826,250,1.0,2021-07-20 21:13:57
65,31.0,158,158.0,31.0,1.0,65,0,16933,250,1.0,2021-07-20 21:13:58
58,32.0,159,159.0,32.0,1.0,58,0,17041,250,1.0,2021-07-20 21:13:59
52,33.0,160,160.0,33.0,1.0,52,0,17148,250,1.0,2021-07-20 21:14:00
46,34.0,161,161.0,34.0,1.0,46,0,17255,250,1.0,2021-07-20 21:14:01
40,35.0,162,162.0,35.0,1.0,40,0,17362,250,1.0,2021-07-20 21:14:02
34,36.0,163,163.0,36.0,1.0,34,0,17469,250,1.0,2021-07-20 21:14:03
29,37.0,164,164.0,37.0,1.0,29,0,17576,250,1.0,2021-07-20 21:14:04
24,38.0,165,165.0,38.0,1.0,24,0,17684,250,1.0,2021-07-20 21:14:05
19,39.0,166,166.0,39.0,1.0,19,0,17791,250,1.0,2021-07-20 21:14:06
15,40.0,167,167.0,40.0,1.0,15,0,17898,250,1.0,2021-07-20 21:14:07
12,41.0,168,168.0,41.0,1.0,12,0,18005,250,1.0,2021-07-20 21:14:08
8,42.0,169,169.0,42.0,1.0,8,0,18112,250,1.0,2021-07-20 21:14:09
6,43.0,170,170.0,43.0,1.0,6,0,18219,250,1.0,2021-07-20 21:14:10
3,44.0,171,171.0,44.0,1.0,3,0,18327,250,1.0,2021-07-20 21:14:11
2,45.0,172,172.0,45.0,1.0,2,0,18434,250,1.0,2021-07-20 21:14:12
1,46.0,173,173.0,46.0,1.0,1,0,18541,250,1.0,2021-07-20 21:14:13
0,47.0,174,174.0,47.0,1.0,0,0,18648,250,1.0,2021-07-20 21:14:14
0,48.0,175,175.0,48.0,1.0,0,0,18755,250,1.0,2021-07-20 21:14:15
0,49.0,176,176.0,49.0,1.0,0,0,18862,250,1.0,2021-07-20 21:14:16
1,50.0,177,177.0,50.0,1.0,1,0,18970,250,1.0,2021-07-20 21:14:17
2,51.0,178,178.0,51.0,1.0,2,0,19077,250,1.0,2021-07-20 21:14:18
3,52.0,179,179.0,52.0,1.0,3,0,19184,250,1.0,2021-07-20 21:14:19
6,53.0,180,180.0,53.0,1.0,6,0,19291,250,1.0,2021-07-20 21:14:20
8,54.0,181,181.0,54.0,1.0,8,0,19398,250,1.0,2021-07-20 21:14:21
12,55.0,182,182.0,55.0,1.0,12,0,19505,250,1.0,2021-07-20 21:14:22
15,56.0,183,183.0,56.0,1.0,15,0,19613,250,1.0,2021-07-20 21:14:23
19,57.0,184,184.0,57.0,1.0,19,0,19720,250,1.0,2021-07-20 21:14:24
24,58.0,185,185.0,58.0,1.0,24,0,19827,250,1.0,2021-07-20 21:14:25
29,59.0,186,186.0,59.0,1.0,29,0,19934,250,1.0,2021-07-20 21:14:26
34,60.0,187,187.0,60.0,1.0,34,0,20041,250,1.0,2021-07-20 21:14:27
40,61.0,188,188.0,61.0,1.0,40,0,20149,250,1.0,2021-07-20 21:14:28
46,62.0,189,189.0,62.0,1.0,46,0,20256,250,1.0,2021-07-20 21:14:29
52,63.0,190,190.0,63.0,1.0,52,0,20363,250,1.0,2021-07-20 21:14:30
58,64.0,191,191.0,64.0,1.0,58,0,20470,250,1.0,2021-07-20 21:14:31
65,65.0,192,192.0,65.0,1.0,65,0,20577,250,1.0,2021-07-20 21:14:32
72,66.0,193,193.0,66.0,1.0,72,0,20684,250,1.0,2021-07-20 21:14:33
80,67.0,194,194.0,67.0,1.0,80,0,20792,250,1.0,2021-07-20 21:14:34
87,68.0,195,195.0,68.0,1.0,87,0,20899,250,1.0,2021-07-20 21:14:35
95,69.0,196,196.0,69.0,1.0,95,0,21006,250,1.0,2021-07-20 21:14:36
103,70.0,197,197.0,70.0,1.0,103,0,21113,250,1.0,2021-07-20 21:14:37
111,71.0,198,198.0,71.0,1.0,111,0,21220,250,1.0,2021-07-20 21:14:38
119,72.0,199,199.0,72.0,1.0,119,0,21327,250,1.0,2021-07-20 21:14:39
126,73.0,200,200.0,73.0,1.0,126,0,21435,250,1.0,2021-07-20 21:14:40
134,74.0,201,201.0,74.0,1.0,134,0,21542,250,1.0,2021-07-20 21:14:41
142,75.0,202,202.0,75.0,1.0,142,0,21649,250,1.0,2021-07-20 21:14:42
150,76.0,203,203.0,76.0,1.0,150,0,21756,250,1.0,2021-07-20 21:14:43
158,77.0,204,204.0,77.0,1.0,158,0,21863,250,1.0,2021-07-20 21:14:44
166,78.0,205,205.0,78.0,1.0,166,0,21970,250,1.0,2021-07-20 21:14:45
173,79.0,206,206.0,79.0,1.0,173,0,22078,250,1.0,2021-07-20 21:14:46
181,80.0,207,207.0,80.0,1.0,181,0,22185,250,1.0,2021-07-20 21:14:47
188,81.0,208,208.0,81.0,1.0,188,0,22292,250,1.0,2021-07-20 21:14:48
195,82.0,209,209.0,82.0,1.0,195,0,22399,250,1.0,2021-07-20 21:14:49
201,83.0,210,210.0,83.0,1.0,201,0,22506,250,1.0,2021-07-20 21:14:50
207,84.0,211,211.0,84.0,1.0,207,0,22614,250,1.0,2021-07-20 21:14:51
213,85.0,212,212.0,85.0,1.0,213,0,22721,250,1.0,2021-07-20 21:14:52
219,86.0,213,213.0,86.0,1.0,219,0,22828,250,1.0,2021-07-20 21:14:53
224,87.0,214,214.0,87.0,1.0,224,0,22935,250,1.0,2021-07-20 21:14:54
229,88.0,215,215.0,88.0,1.0,229,0,23042,250,1.0,2021-07-20 21:14:55
234,89.0,216,216.0,89.0,1.0,234,0,23149,250,1.0,2021-07-20 21:14:56
238,90.0,217,217.0,90.0,1.0,238,0,23257,250,1.0,2021-07-20 21:14:57
241,91.0,218,218.0,91.0,1.0,241,0,23364,250,1.0,2021-07-20 21:14:58
245,92.0,219,219.0,92.0,1.0,245,0,23471,250,1.0,2021-07-20 21:14:59
247,93.0,220,220.0,93.0,1.0,247,0,23578,250,1.0,2021-07-20 21:15:00
250,94.0,221,221.0,94.0,1.0,250,0,23685,250,1.0,2021-07-20 21:15:01
251,95.0,222,222.0,95.0,1.0,251,0,23792,250,1.0,2021-07-20 21:15:02
252,96.0,223,223.0,96.0,1.0,252,0,23900,250,1.0,2021-07-20 21:15:03
253,97.0,224,224.0,97.0,1.0,253,0,24007,250,1.0,2021-07-20 21:15:04
254,98.0,225,225.0,98.0,1.0,254,0,24114,250,1.0,2021-07-20 21:15:05
253,99.0,226,226.0,99.0,1.0,253,0,24221,250,1.0,2021-07-20 21:15:06
252,100.0,227,227.0,100.0,1.0,252,0,24328,250,1.0,2021-07-20 21:15:07
251,101.0,228,228.0,101.0,1.0,251,0,24435,250,1.0,2021-07-20 21:15:08
250,102.0,229,229.0,102.0,1.0,250,0,24543,250,1.0,2021-07-20 21:15:09
247,103.0,230,230.0,103.0,1.0,247,0,24650,250,1.0,2021-07-20 21:15:10
245,104.0,231,231.0,104.0,1.0,245,0,24757,250,1.0,2021-07-20 21:15:11
241,105.0,232,232.0,105.0,1.0,241,0,24864,250,1.0,2021-07-20 21:15:12
238,106.0,233,233.0,106.0,1.0,238,0,24971,250,1.0,2021-07-20 21:15:13
234,107.0,234,234.0,107.0,1.0,234,0,25078,250,1.0,2021-07-20 21:15:14
229,108.0,235,235.0,108.0,1.0,229,0,25186,250,1.0,2021-07-20 21:15:15
224,109.0,236,236.0,109.0,1.0,224,0,25293,250,1.0,2021-07-20 21:15:16
219,110.0,237,237.0,110.0,1.0,219,0,25400,250,1.0,2021-07-20 21:15:17
213,111.0,238,238.0,111.0,1.0,213,0,25507,250,1.0,2021-07-20 21:15:18
207,112.0,239,239.0,112.0,1.0,207,0,25614,250,1.0,2021-07-20 21:15:19
201,113.0,240,240.0,113.0,1.0,201,0,25722,250,1.0,2021-07-20 21:15:20
195,114.0,241,241.0,114.0,1.0,195,0,25829,250,1.0,2021-07-20 21:15:21
188,115.0,242,242.0,115.0,1.0,188,0,25936,250,1.0,2021-07-20 21:15:22
181,116.0,243,243.0,116.0,1.0,181,0,26043,250,1.0,2021-07-20 21:15:23
173,117.0,244,244.0,117.0,1.0,173,0,26150,250,1.0,2021-07-20 21:15:24
166,118.0,245,245.0,118.0,1.0,166,0,26257,250,1.0,2021-07-20 21:15:25
158,119.0,246,246.0,119.0,1.0,158,0,26365,250,1.0,2021-07-20 21:15:26
150,120.0,247,247.0,120.0,1.0,150,0,26472,250,1.0,2021-07-20 21:15:27
142,121.0,248,248.0,121.0,1.0,142,0,26579,250,1.0,2021-07-20 21:15:28
134,122.0,249,249.0,122.0,1.0,134,0,26686,250,1.0,2021-07-20 21:15:29
126,123.0,250,250.0,123.0,1.0,126,0,26793,250,1.0,2021-07-20 21:15:30
119,124.0,251,251.0,124.0,1.0,119,0,26900,250,1.0,2021-07-20 21:15:31
111,125.0,252,252.0,125.0,1.0,111,0,27008,250,1.0,2021-07-20 21:15:32
103,126.0,253,253.0,126.0,1.0,103,0,27115,250,1.0,2021-07-20 21:15:33
95,127.0,254,254.0,127.0,1.0,95,0,27222,250,1.0,2021-07-20 21:15:34
87,127.0,0,255.0,127.0,1.0,87,0,27329,150,1.0,2021-07-20 21:15:35
80,126.0,1,256.0,126.0,1.0,80,0,27436,150,1.0,2021-07-20 21:15:36
72,125.0,2,257.0,125.0,1.0,72,0,27543,150,1.0,2021-07-20 21:15:37
65,124.0,3,258.0,124.0,1.0,65,0,27651,150,1.0,2021-07-20 21:15:38
58,123.0,4,259.0,123.0,1.0,58,0,27758,150,1.0,2021-07-20 21:15:39
52,122.0,5,260.0,122.0,1.0,52,0,27865,150,1.0,2021-07-20 21:15:40
46,121.0,6,261.0,121.0,1.0,46,0,27972,150,1.0,2021-07-20 21:15:41
40,120.0,7,262.0,120.0,1.0,40,0,28079,150,1.0,2021-07-20 21:15:42
34,119.0,8,263.0,119.0,1.0,34,0,28186,150,1.0,2021-07-20 21:15:43
29,118.0,9,264.0,118.0,1.0,29,0,28294,150,1.0,2021-07-20 21:15:44
24,117.0,10,265.0,117.0,1.0,24,0,28401,150,1.0,2021-07-20 21:15:45
19,116.0,11,266.0,116.0,1.0,19,0,28508,150,1.0,2021-07-20 21:15:46
15,115.0,12,267.0,115.0,1.0,15,0,28615,150,1.0,2021-07-20 21:15:47
12,114.0,13,268.0,114.0,1.0,12,0,28722,150,1.0,2021-07-20 21:15:48
8,113.0,14,269.0,113.0,1.0,8,0,28830,150,1.0,2021-07-20 21:15:49
6,112.0,15,270.0,112.0,1.0,6,0,28937,150,1.0,2021-07-20 21:15:50
3,111.0,16,271.0,111.0,1.0,3,0,29044,150,1.0,2021-07-20 21:15:51
2,110.0,17,272.0,110.0,1.0,2,0,29151,150,1.0,2021-07-20 21:15:52
1,109.0,18,273.0,109.0,1.0,1,0,29258,150,1.0,2021-07-20 21:15:53
0,108.0,19,274.0,108.0,1.0,0,0,29365,150,1.0,2021-07-20 21:15:54
0,107.0,20,275.0,107.0,1.0,0,0,29473,150,1.0,2021-07-20 21:15:55
0,106.0,21,276.0,106.0,1.0,0,0,29580,150,1.0,2021-07-20 21:15:56
1,105.0,22,277.0,105.0,1.0,1,0,29687,150,1.0,2021-07-20 21:15:57
2,104.0,23,278.0,104.0,1.0,2,0,29794,150,1.0,2021-07-20 21:15:58
3,103.0,24,279.0,103.0,1.0,3,0,29901,150,1.0,2021-07-20 21:15:59
6,102.0,25,280.0,102.0,1.0,6,0,30008,150,1.0,2021-07-20 21:16:00
8,101.0,26,281.0,101.0,1.0,8,0,30116,150,1.0,2021-07-20 21:16:01
12,100.0,27,282.0,100.0,1.0,12,0,30223,150,1.0,2021-07-20 21:16:02
15,99.0,28,283.0,99.0,1.0,15,0,30330,150,1.0,2021-07-20 21:16:03
19,98.0,29,284.0,98.0,1.0,19,0,30437,150,1.0,2021-07-20 21:16:04
24,97.0,30,285.0,97.0,1.0,24,0,30544,150,1.0,2021-07-20 21:16:05
29,96.0,31,286.0,96.0,1.0,29,0,30651,150,1.0,2021-07-20 21:16:06
34,95.0,32,287.0,95.0,1.0,34,0,30759,150,1.0,2021-07-20 21:16:07
40,94.0,33,288.0,94.0,1.0,40,0,30866,150,1.0,2021-07-20 21:16:08
46,93.0,34,289.0,93.0,1.0,46,0,30973,150,1.0,2021-07-20 21:16:09
52,92.0,35,290.0,92.0,1.0,52,0,31080,150,1.0,2021-07-20 21:16:10
58,91.0,36,291.0,91.0,1.0,58,0,31187,150,1.0,2021-07-20 21:16:11
65,90.0,37,292.0,90.0,1.0,65,0,31295,150,1.0,2021-07-20 21:16:12
72,89.0,38,293.0,89.0,1.0,72,0,31402,150,1.0,2021-07-20 21:16:13
80,88.0,39,294.0,88.0,1.0,80,0,31509,150,1.0,2021-07-20 21:16:14
87,87.0,40,295.0,87.0,1.0,87,0,31616,150,1.0,2021-07-20 21:16:15
95,86.0,41,296.0,86.0,1.0,95,0,31723,150,1.0,2021-07-20 21:16:16
103,85.0,42,297.0,85.0,1.0,103,0,31830,150,1.0,2021-07-20 21:16:17
111,84.0,43,298.0,84.0,1.0,111,0,31938,150,1.0,2021-07-20 21:16:18
119,83.0,44,299.0,83.0,1.0,119,0,32045,150,1.0,2021-07-20 21:16:19
127,82.0,45,300.0,82.0,1.0,127,0,32152,150,1.0,2021-07-20 21:16:20
